ts,host,envelopes_forwarded,envelopes_dropped,resolve_total,attach_active,route_cache_entries,transport_connections,path_mtu
2026-05-03T12:56:40+02:00,helsinki,6,1,2,0,1,1,1452
2026-05-03T12:56:40+02:00,nuremberg,5,1,2,0,1,1,1452
2026-05-03T12:57:11+02:00,helsinki,36,3,4,0,1,1,1452
2026-05-03T12:57:11+02:00,nuremberg,35,3,4,0,1,1,1452
2026-05-03T12:57:42+02:00,helsinki,68,4,5,0,1,1,1452
2026-05-03T12:57:43+02:00,nuremberg,67,4,5,0,1,1,1452
2026-05-03T12:58:13+02:00,helsinki,98,4,5,0,1,1,1452
2026-05-03T12:58:13+02:00,nuremberg,97,4,5,0,1,1,1452
2026-05-03T12:58:44+02:00,helsinki,130,5,6,0,1,1,1452
2026-05-03T12:58:45+02:00,nuremberg,129,4,5,0,1,1,1452
2026-05-03T12:59:15+02:00,helsinki,160,5,6,0,1,1,1452
2026-05-03T12:59:16+02:00,nuremberg,159,5,6,0,1,1,1452
2026-05-03T12:59:47+02:00,helsinki,192,5,6,0,1,1,1452
2026-05-03T12:59:47+02:00,nuremberg,191,5,6,0,1,1,1452
2026-05-03T13:00:17+02:00,helsinki,222,5,6,0,1,1,1452
2026-05-03T13:00:18+02:00,nuremberg,221,5,6,0,1,1,1452
